restaurant_name,avg_review_score,street,zip_code,city_name,type_of_cuisine,minimum_order_value,delivery_fee,pricyness,latitude,longitude,avg_delivery_time
Besh,8.8,Brückenstraße 15,10179,Berlin,"['vegetarian', 'oriental', 'fresh']",10.00,,€,52.511594911272894,13.416638899619757,30–40 min
Five Rivers,8.8,Albrechtstraße 11,10117,Berlin,"['asian', 'sushi', 'summer rolls']",10.00,,€€,52.5214627,13.3848372,50–60 min
Ferrarino Pizza,8.6,Garnisonkirchpl. 2,10178,Berlin,"['pizza', 'italian', 'mediterranean']",10.00,,€€,52.52182999999999,13.40174,30–40 min
Hito Falafel,9.0,Chauseestraße 4,10115,Berlin,"['falafel', 'shawarma', 'Arabic']",10.00,,€€,52.527779975720726,13.38692562524518,30–40 min
Miu Lunch,,Reinhardtstraße 47 A,10117,Berlin,"['asian', 'pokebowl', 'curry']",10.00,1.90Min.,€,52.5221767,13.3781882,
Pizza-Scheune,8.4,Rosa-Luxemburg-Straße 49 ,10178,Berlin,"['pizza', 'italian', 'vegetable']",10.00,,€€,52.5280443,13.4099983,30–40 min
Good n Vegan Kreuzberg,9.0,This is a virtual venue,10963,Berlin,"['vegan', 'european', 'hamburger']",,,€€,52.5038107,13.3804042,Takeaway
CRACKBUNS,9.0,Auguststrasse 63,10117,Berlin,"['burger', 'sliders', 'fries']",10.00,,€,52.527203,13.3971057,45–55 min
Hauptstadtburger,7.6,Leipziger Pl. 12,10117,Berlin,"['burger', 'fries', 'hamburger']",10.00,,€€,52.5102491,13.3799541,30–40 min
KAIMUG - Foodfactory Cube,8.2,Washingtonpl. 3,10557,Berlin,"['thai', 'asian', 'sushi']",10.00,,€€,52.52366857353486,13.369385654631834,30–40 min
Hummus Company,8.0,Leipziger Platz 12,10117,Berlin,"['hummus', 'middle eastern', 'pita']",10.00,,€,52.5102491,13.3799541,30–40 min
BrewDog Berlin Mitte,8.0,Ackerstraße 29,10115,Berlin,"['beer', 'pizza', 'american']",10.00,,€€,52.532829205434375,13.395768525794837,30–40 min
Chen Che,8.0,Rosenthaler Str. 62,10119,Berlin,"['vietnamese', 'street food', 'noodles']",10.00,,€,52.527961,13.4030479,30–40 min
Burgerzimmer X,7.8,Heinrich-Heine-Straße 36,10179,Berlin,"['burger', 'hotdog', 'fries']",10.00,,€€,52.5057895,13.4121294,50–60 min
Burgerwood,7.6,Reinhardtstraße 47,10117, Berlin,"['burger', 'salad', 'wrap']",10.00,1.90Min.,€,52.52213430971234,13.378588283074198,
MarcAnns,8.8,Invalidenstraße 114,10115,Berlin,"['french', 'baguette', 'galette']",10.00,1.90Min.,€€,52.5306911,13.3842847,
BunUp Mitte,7.8,This is a virtual venue,10178,Berlin,"['vegan', 'burger', 'fries']",10.00,,€,52.5238316,13.3985704,30–40 min
Chelany Mitte,8.6,Torstraße 221,10115,Berlin,"['curry', 'chicken', 'indian']",10.00,,€€,52.5276532,13.38861,30–40 min
Good Morning Vietnam,9.0,Alte Schönhauser Str. 60,10119,Berlin,"['asian', 'vietnamese']",10.00,,€€,52.52839669999999,13.409406,30–40 min
Sons of Mana x Royals & Rice,9.0,Friedrichstraße 67,10117,Berlin,"['bowl', 'pokebowl', 'vietnamese']",10.00,,€€,52.51261539999999,13.3905721,30–40 min
Amrit Mitte,8.4,Oranienburger Straße 45,10117,Berlin,"['indian', 'curry', 'naan']",10.00,,€€€,52.525917599997776,13.389576901189136,30–40 min
Aloha Poke Berlin,,Washingtonplatz 3,10557,Berlin,"['poke', 'pokebowl', 'salad']",10.00,1.90Min.,€€,52.523606500000014,13.369197899999994,
Lovebirds - Contemporary Pizza,8.4,Rosenthaler Straße 3,10119,Berlin,"['pizza', 'neapolitan pizza', 'italian']",10.00,,€,52.5287412,13.4018009,30–40 min
Sushi Miyabi Mitte,8.0,Georgenstraße 195,10117,Berlin,"['maki', 'roll', 'japanese']",10.00,,€€,52.52005035643261,13.39064903068943,30–40 min
Mr Imbiss Berlin,,Schützenstraße 2,10117, Berlin,[],10.00,1.90Min.,,52.508507041615765,13.390493204098583,
Ristorante Bella Vita,7.6,Mittelstraße 62,10117,Berlin,"['pizza', 'pasta', 'italian']",10.00,,€€,52.5179452,13.389358,30–40 min
Caphe HOA,9.4,Stallschreiberstrasse 15,10179,Berlin,"['vegan', 'vegetarian', 'pho']",10.00,,€€,52.5064966,13.4082134,50–60 min
Fam. Dang,8.0,Torstraße 125,10119,Berlin,"['vietnamese', 'pho', 'asian']",10.00,,€€,52.52974381102301,13.400502548444754,50–60 min
Quchnia,8.0,Markgrafenstr. 35,10117,Berlin,"['european', 'pizza', 'bowl']",,,€€€,52.51279599999999,13.3937831,Takeaway
Torbar,,Torstraße 183,10115,Berlin,"['fine-dining', 'french', 'seafood']",10.00,1.90Min.,€€€€,52.52860156318629,13.3934536106567,
SMASH! Mitte,8.6,This is a virtual venue,10179,Berlin,"['hamburger', 'burger', 'meat']",10.00,,€,52.5115059,13.4169483,30–40 min
District Mot,8.2,Rosenthaler Str. 62,10119,Berlin,"['vietnamese', 'asian', 'street food']",10.00,,€,52.527961,13.4030479,30–40 min
Gaststätte Sophieneck,8.8,Große Hamburger Str. 37,10115,Berlin,"['european', 'german', 'sausage']",10.00,,,,,30–40 min
GOOD BANK - Joachimstrasse,8.4,Joachimstrasse 17A,10119,Berlin,"['bowl', 'salad', 'healthy']",10.00,deliveryMin.,€€,52.527821,13.4004662,
Steel Vintage Bikes Café Auguststr.,9.0,Auguststraße 91,10117,Berlin,"['breakfast', 'café', 'coffee']",10.00,1.90Min.,€,52.52602558141521,13.390530028241967,
Umami Prenzlauer Berg,8.8,Knaackstraße 16-18,10405,Berlin,"['asian', 'vietnamese', 'fish']",10.00,,€€,52.53461799999999,13.4197911,30–40 min
Pizza Point Zimmerstr.,8.4,Zimmerstraße 10,10969,Berlin,"['pizza', 'pasta', 'salad']",10.00,,€,52.5073228,13.3878867,30–40 min
Frittenwerk Berlin Friedrichstraße,8.8,Friedrichstraße 69,10117,Berlin,"['american', 'fries', 'potato']",10.00,,€,52.51263669999999,13.3896904,30–40 min
Soy Restaurant,9.4,Rosa-Luxemburg-Straße 30,10178,Berlin,"['tapas', 'asian', 'vietnamese']",10.00,,€€,52.52601407098775,13.411483058480062,50–60 min
Reisfreude,9.0,Brückenstraße 1c,10179,Berlin,"['european', 'risotto', 'salad']",10.00,,€,52.51191129999999,13.4171379,50–60 min
Aiko Sushi,8.4,Brunnenstraße 193,10119,Berlin,"['sushi', 'japanese']",10.00,,€€€,52.53053882332101,13.400382578829035,50–60 min
Soul Sushi Berlin-Mitte,8.8,Oranienburger Str. 52,10117,Berlin,"['sushi', 'japanese', 'rice']",10.00,,€,52.5259259,13.38825,50–60 min
Djimalaya,9.0,Invalidenstraße 159,10115,Berlin,"['pita', 'israeli', 'Arabic']",,,€€,52.5323523,13.3973485,Takeaway
Berliner Marcus Bräu,8.4,"Münzstraße 1-3,",10178,Berlin,"['german', 'Schnitzel', 'spaetzle']",10.00,1.90Min.,€€,52.523971877722374,13.409258666270404,
Angry Chicken - Mitte,8.8,Rosa-Luxemburg-Straße 7,10178,Berlin,"['chicken', 'korean', 'street food']",10.00,,€,52.5237938,13.4091964,30–40 min
Son Kitchen Foodtruck,8.6,Varian-Fry-Straße ,10785,Berlin,"['korean', 'street food', 'asian']",10.00,,€€,52.5088036,13.3742494,50–60 min
Happy Buddha,7.4,Schlegel Straße 22,10115,Berlin,"['indian', 'curry', 'rice']",10.00,,€€,52.53034265713895,13.38685159671559,45–55 min
Asman,8.4,Ackerstraße 20,10115,Berlin,"['indian', 'curry']",10.00,1.90Min.,€,52.53156796761646,13.396621933730021,
Vino e Basilico,9.0,Tucholskystraße 18/20,10117,Berlin,"['italian', 'pasta', 'Mozzarella']",,,€€€,52.5252037,13.3932662,Takeaway
Tiny's Pizza,8.2,Rosenthaler Straße 36,10178,Berlin,"['neapolitan pizza', 'pizza', 'italian']",10.00,1.90Min.,€€,52.52467990421904,13.40214651380219,
At Home by ZENKICHI,9.6,Johannisstrasse 20,10117,Berlin,"['japanese', 'fine-dining', 'sushi']",,,€€€€,52.52471,13.38885,Takeaway
Burgermeister Potsdamer Platz,8.8,Potsdamer Platz 1 ,10785,Berlin,"['hamburger', 'burger', 'meat']",10.00,,€,52.50911563386791,13.374227434253475,50–60 min
Hayal Grill,9.2,Charlottenstraße 13,10969,Berlin,"['grill', 'hummus', 'turkish']",10.00,,€€,52.50701122999866,13.393112483191135,45–55 min
Anand,8.0,Albrechtstraße 12,10117,Berlin,"['indian', 'tandoori', 'masala']",10.00,,€€,52.5211654,13.384961,50–60 min
Yokozuna Sushi,8.8, Torstraße 41,10119,Berlin,"['Sashimi', 'roll', 'gyoza']",10.00,,€€€,52.52865349523008,13.411356136938425,30–40 min
Transit Mitte,8.8,Rosenthalerstraße 68,10119,Berlin,"['asian', 'tapas', 'fusion']",10.00,1.90Min.,€,52.52864513176107,13.402278299999999,
smartdeli - sushi & more,8.8,Novalisstr. 2,10115,Berlin,"['Sashimi', 'asian', 'sushi']",10.00,,€€,52.52817,13.3891001,30–40 min
Chupenga - Burritos & Salads Georgenstr.,8.4,Georgenstraße 200,10117,Berlin,"['bowl', 'burrito', 'mexican']",10.00,,€,52.51995687003612,13.389513147222218,30–40 min
Com Viet Berlin,7.8,Münzstraße 3,10178,Berlin,"['vietnamese', 'sushi', 'rice']",10.00,,€€,52.5239938,13.408986,30–40 min
Five Guys Mitte,7.8,Alexanderpl. 2,10178,Berlin,"['burger', 'hamburger', 'fries']",10.00,,€€,52.5205493482613,13.41422543051924,50–60 min
Brammibal's Donuts - Potsdamer Platz,9.6,Alte Potsdamer Str. 11,10785,Berlin,"['dessert', 'donut', 'vegan']",10.00,,€,52.5080051,13.3738108,50–60 min
Toca Rouge,8.6,Torstraße 195,10115,Berlin,"['asian', 'chinese', 'seafood']",10.00,,€€,52.5282882,13.3919802,30–40 min
Italofritzen,7.4,Friedrichstraße 105,10117,Berlin,"['italian', 'pizza']",10.00,,€€,52.5227282,13.3881445,30–40 min
VietBowl Mitte,,Zimmerstraße 69,10117,Berlin,"['vietnamese', 'pho', 'curry']",10.00,1.90Min.,€€,52.5080041,13.3928408,
Espresso House Friedrichstraße,7.6,Friedrichstraße 125,10117,Berlin,"['sandwich', 'bakery', 'cake']",10.00,1.90Min.,€,52.5258858,13.3868659,
Vadoli,8.2,Oranienburger Str. 13,10178,Berlin,"['italian', 'pizza']",10.00,,€€,52.5238316,13.3985704,50–60 min
Listo Lounge,,Mohrenstraße 30,10117,Berlin,"['sandwich', 'steak', 'pasta']",10.00,1.90Min.,€€€,52.5121406,13.3928272,
Campus Suite - Food Factory Cube,8.8,Washingtonplatz 3,10557,Berlin,"['pasta', 'bagel', 'salad']",10.00,,€,52.5236065,13.3691979,50–60 min
Tasty Bistro,7.6,Rungestraße 14,10179,Berlin,"['pizza', 'pasta', 'salad']",10.00,,€,52.5122717,13.4182962,50–60 min
Kebap with attitude,8.2,Gipsstraße 2,10119,Berlin,"['kebab', 'bowl', 'turkish']",10.00,,€€,52.52724314420447,13.39913771682263,40–70 min
dean&david Quartier 205,8.0,Mohrenstraße 50,10117,Berlin,"['salad', 'healthy', 'bowl']",10.00,,€€,52.51226659611019,13.390251283808636,30–40 min
FECHTNER Berlin,8.8,Torstraße 114,10119,Berlin,"['european', 'healthy', 'salad']",10.00,1.90Min.,€€,52.529583,13.4025829,
Atame,9.2,Dircksenstraße 40,10178,Berlin,"['spanish', 'wine', 'cheese']",,,€€,52.52355832952749,13.40683685030174,Takeaway
Takumi'9 Sapporo,9.0,Chausseestraße 124,10115,Berlin,"['ramen', 'japanese', 'asian']",10.00,1.90Min.,€€,52.5290334,13.3846772,
Burger Vision Torstraße,8.4,Torstraße 128,10119,Berlin,"['burger', 'veggie burger', 'fries']",10.00,,€€,52.5293856,13.4004516,45–55 min
Salami Social Club II,7.8,Schönhauser Allee 176,10119,Berlin,"['pizza', 'italian', 'vegetarian']",10.00,,€€,52.53172205551587,13.412003162761234,45–55 min
Jinbu Sushi,8.4,Bertolt-Brecht-Platz 2,10117,Berlin,"['sushi', 'soup', 'delicious']",10.00,,€€,52.52243060340517,13.386233377523823,30–40 min
The Indique,7.8,Ziegelstraße 29,10117,Berlin,"['indian', 'contemporary', 'rice']",10.00,,€€€,52.52367950000001,13.3906793,30–40 min
Royals & Rice,8.8,Torstraße 164,10115,Berlin,"['asian', 'bao', 'vietnamese']",10.00,,€€€,52.5288602,13.3959879,30–40 min
Hopfingerbräu am Brandenburger Tor,,Ebertstraße 24,10117,Berlin,"['sausage', 'schnitzel', 'salad']",10.00,1.90Min.,€€,52.5172234,13.377556,
MIBAP,9.2,This is a virtual venue,10179,Berlin,"['asian', 'fusion', 'bento']",10.00,,€€,52.5129513,13.4172072,50–60 min
Wrapublic Mitte,8.8,Torstraße 118,10119,Berlin,"['lunch', 'wrap', 'work lunch']",10.00,,€€,52.5295128,13.4021367,30–40 min
beets&roots Mauerstr.,8.4,Mauerstraße 76,10117,Berlin,"['bowl', 'salad', 'wrap']",10.00,,€€,52.509409528999086,13.387916692065224,45–55 min
Da Vinci Ristorante,7.6,Georgenstraße 192,10117,Berlin,"['pizza', 'italian', 'pasta']",10.00,,€€,52.5201646,13.3913112,30–40 min
Rotes Kamel,8.6, Hannah-Arendt-Str. 4,10117,Berlin,"['grill', 'Arabic', 'hummus']",10.00,,€€,52.5140041,13.3811706,30–40 min
Dunkin’ Donuts Friedrichsstraße,,Bhf. Friedrichstr Bahnhof Friedrichstraße, 1011,  Berlin,"['Dessert', 'Doughnut', 'donut']",10.00,,€€,52.52052444659835,13.386710500133292,50–60 min
Chopstix Mitte,9.0,Dircksenstraße 35,10178,Berlin,"['sushi', 'pho', 'asian']",10.00,,€€,52.5228184,13.4095516,30–40 min
Tuans Huette,9.0,Dircksenstraße 40,10178,Berlin,"['thai', 'sushi', 'asian']",10.00,,€€,52.523608,13.4069478,50–60 min
Aitme ,,This is a virtual venue,10119,Berlin,"['mediterranean', 'bowl', 'lunch']",,,€€,52.5273961,13.3981992,Takeaway
CHICKEN POW ! Mitte,8.2,This is a virtual venue,10179,Berlin,"['fried chicken', 'burger', 'street food']",10.00,,€,52.5115059,13.4169483,45–55 min
Asia Gondel,8.8,Brückenstr 1-b,10179,Berlin,"['asian', 'soup', 'thai']",10.00,,€,52.5116365,13.4171036,30–40 min
Bar Internazionale,8.2,Rosa-Luxemburg-Str. 31,10178, Berlin,"['italian', 'pizza', 'pasta']",10.00,,€€,52.52628499999999,13.4109594,50–60 min
Curry Mitte,9.0,Torstraße 122 ,10119,Berlin,"['currywurst', 'sausage', 'german']",10.00,,€,52.529479491640664,13.401082658763467,30–40 min
Quà Phê,9.4,Schendelgasse 9,10119,Berlin,"['vietnamese', 'bao', 'rice']",10.00,,€,52.52679045899932,13.408479274123787,30–40 min
NamPan,8.8,Oranienburger Straße 66,10117,Berlin,"['sushi', 'Donburi', 'maki']",10.00,,€€,52.52507150722472,13.391728193152892,30–40 min
VietBowl Potsdamer Platz,8.6,Marlene-Dietrich-Platz 1,10785,Berlin,"['vietnamese', 'pho', 'curry']",10.00,,€€,52.5070442,13.3720023,30–40 min
Co-Chu,8.8,"Invalidenstraße, 29",10115,Berlin,"['vietnamese', 'asian', 'curry']",10.00,,€€,52.5312198,13.3844848,45–55 min
Mogg,9.0,Auguststr. 11- 13,10117,Berlin,"['Pastrami', 'sandwich', 'meat']",10.00,,€€,52.5264862,13.3944418,30–40 min
CHIMNEYS,8.4,Brunnenstraße 173,10119,Berlin,"['cake', 'vegan', 'homemade meals']",10.00,,€,52.53288560000001,13.3984218,30–40 min
Subway Behrenstrasse,7.6,Behrenstrasse 47,10117,Berlin,"['sandwich', 'chicken', 'wrap']",10.00,,€€,52.51580522932664,13.38987548836371,30–40 min
Tiger Ramen,7.4,This is a virtual venue,10119,Berlin,"['ramen', 'asian', 'soup']",10.00,deliveryMin.,€€,52.5307021,13.4023004,
Namu Sushi,8.0,Oranienburger Str. 17,10178,Berlin,"['asian', 'sushi', 'japanese']",10.00,,€€,52.5240721,13.3975879,30–40 min
Akito Sushi Bar,8.8,Reinhardtstraße 6, 1011, Berlin,"['japanese', 'bowl', 'sushi']",10.00,,€€,52.5239124,13.3867527,30–40 min
Restaurant acht&dreissig,8.0,Oranienburger Str. 38,10117,Berlin,"['german', 'meat']",10.00,,€€€,52.5254649,13.391443,30–40 min
Vegian,,This is a virtual venue,10179,Berlin,"['beyondmeat', 'burger', 'cheese']",10.00,,€€,52.5115059,13.4169483,45–55 min
O'Tacos Berlin Spandauer Str.,7.4,This is a virtual venue,10178,Berlin,"['french', 'mexican', 'wrap']",10.00,,€€,52.5206084,13.404795,45–55 min
Steel Vintage Bikes Café Wilhemstr.,9.2,Wilhelmstraße 91,10117,Berlin,"['café', 'breakfast', 'coffee']",,,€,52.5126941,13.3822101,Takeaway
Cowei,8.6,James-Simon-Park 152,10178,Berlin,"['vietnamese', 'asian', 'japanese']",10.00,,€,52.5222596,13.3996438,30–40 min
Viet Street - Sushi Bar,8.8,Dirckenstr. 93,10178,Berlin,"['vietnamese', 'sushi', 'asian']",10.00,,€€,52.5180296,13.4154194,30–40 min
Berlin Currys,7.8,Karl-Liebknecht-Str. 13,10178,Berlin,"['currywurst', 'fries', 'chicken nuggets']",10.00,,€,52.5223087920727,13.40833332740671,30–40 min
Alt-Berliner Gasthaus Julchen Hoppe,9.0,Rathausstraße 25,10178,Berlin,"['german', 'european', 'meat']",10.00,1.90Min.,€€,52.51733607261106,13.404971896959795,
Pizza Peppino,,Tucholskystraße 13,10117,Berlin,"['italian', 'pasta', 'pizza']",10.00,,€,52.52339332586772,13.391764043640274,30–40 min
Stay Green,9.4,Leipziger Str. 51,10117,Berlin,"['bowl', 'smoothie', 'pasta']",10.00,,€,52.5107206,13.4016645,30–40 min
Capvin,8.2,Weinbergsweg 24,10119,Berlin,"['neapolitan pizza', 'pizza', 'italian']",10.00,,€€,52.53074110000001,13.401757,30–40 min
Mama Cook,8.6,Hedemannstraße 10,10969,Berlin,"['vietnamese', 'asian']",10.00,,€,52.50299,13.38859,30–40 min
Delhi 6,8.4,Friedrichstraße 237,10969,Berlin,"['indian', 'curry', 'rice']",10.00,,€€€,52.50193897290694,13.391047288360232,30–40 min
Food Brother Mitte,8.0,Rosenthaler Straße 67,10119,Berlin,"['halal', 'fries', 'chicken']",10.00,,€€,52.52856269999999,13.402465,30–40 min
DALUMA,8.6,Weinbergsweg 3,10119,Berlin,"['bowl', 'healthy', 'smoothie']",10.00,,€€,52.53050805139134,13.40215026441957,30–40 min
Pizzeria Marienkaefer,8.6,Marienstraße 18 ,10117,Berlin,"['pizza', 'pasta', 'salad']",10.00,,€€,52.522317889043265,13.383895084656176,30–40 min
SIIO,,Spandauer Str. 3,10178,Berlin,"['chinese', 'dumplings', 'bubble tea']",10.00,1.90Min.,€€,52.5200252,13.4037884,
Saravanaa Bhavan Berlin,8.6,Potsdamer Platz 5,10785,Berlin,"['indian', 'vegetarian', 'vegan']",10.00,,€€,52.510509,13.3761878,45–55 min
