restaurant_name,avg_review_score,street,zip_code,city_name,type_of_cuisine,minimum_order_value,delivery_fee,pricyness,latitude,longitude,avg_delivery_time
Sucre Et Sel,8.2,Torstrasse 132,10119,Berlin,"['french', 'european', 'bistro']",10.00,,€€€,52.5294179,13.4000347,45–55 min
Hasir Burger,8.2,Chausseestr.30 ,10115,Berlin,"['burgers', 'fries', 'american']",10.00,,€,52.5323728,13.3812135,30–40 min
Goodtime,8.8,Hausvogteiplatz 11a ,10117,Berlin,"['thai', 'asian']",10.00,,€€€,52.512719989573846,13.396920166606986,30–40 min
Espresso House Potsdamer Platz,8.4,Potsdamer Platz 10,10785,Berlin,"['sandwich', 'bakery', 'cake']",10.00,,€,52.5082174,13.3769992,30–40 min
Mundo,8.4,Zimmerstr. 19,10969,Berlin,"['tapas', 'Latin American', 'burger']",10.00,,€€,52.5075063,13.3895957,40–50 min
Golden Fleece,8.8,Torstraße 69,10119,Berlin,"['Georgian', 'dumplings', 'salad']",10.00,,€€€,52.52939139999999,13.4076279,30–40 min
Espresso House DomAquarée,8.8,Karl-Liebknecht-Str. 5,10178,Berlin,"['sandwich', 'bakery', 'cake']",10.00,1.90Min.,€,52.5199169,13.4040187,
Ristorante Pizzeria Roma,8.4,Friedrichstraße 129,10117,Berlin,"['pasta', 'antipasti', 'italian']",10.00,,€€,52.52504113280851,13.387145586434123,45–55 min
Wildes Fraeulein,9.2,Hilda-Geiringer-Weg 6,10557,Berlin,"['Austrian', 'breakfast', 'Schnitzel']",10.00,,€€,52.52675619999999,13.3723415,30–40 min
Cocolo Ramen Mitte,9.2,Gipsstraße 3,10119,Berlin,"['ramen', 'soup', 'asian']",10.00,1.90Min.,€€,52.5271845,13.3993081,
Vedang - plant burger (Mall of Berlin),9.0,Leipziger Pl. 12,10117,Berlin,"['burger', 'vegan', 'fries']",10.00,,€€€,52.5102491,13.3799541,45–55 min
Effe & Gold,,Washingtonplatz 3,10557,Berlin,"['burger', 'fries', 'salad']",10.00,,€,52.5236065,13.3691979,45–55 min
Cha - Natural Drinks,9.0,Brunnenstraße 173,10115,Berlin,"['bubble tea', 'tea', 'matcha']",10.00,,€,52.53288509999999,13.3984652,30–40 min
Choppaluna,9.0,Rudi-Dutschke-Str. 17,10969,Berlin,"['salad', 'bowl', 'wrap']",10.00,,€€,52.5067797,13.3933877,45–55 min
Maison Dang,8.2,Tucholskystraße 34,10117,Berlin,"['asian', 'vietnamese']",10.00,1.90Min.,€,52.52631535360692,13.393759968406496,
bacg,8.6,Neue Schönhauser Str.,10178,Berlin,"['kebab', 'falafel', 'pita']",10.00,1.90Min.,€,52.52485032890104,13.405544419780236,
Mövenpick Restaurant Berlin,7.4,Schöneberger Str. 3,10963,Berlin,"['bowl', 'european', 'vegetable']",10.00,1.90Min.,€€,52.5038107,13.3804042,
Army Food,,Mauerstraße 1,10117,Berlin,"['soup', 'salad', 'russian']",10.00,1.90Min.,€,52.510943,13.3870163,
Indian Village,8.2,Dircksenstraße 94,10178,Berlin,"['curry', 'indian', 'rice']",10.00,,€€,52.5181633,13.4153644,30–40 min
Hayal Meyhane Mezze Bar,,Charlottenstraße 13,10969,Berlin,"['meze', 'turkish', 'oriental']",10.00,1.90Min.,€€€,52.50700379103972,13.393261459010299,
Ming Dynastie Mitte,9.2,Brückenstrasse 6,10179,Berlin,"['asian', 'fried rice', 'rice']",10.00,,€€,52.5134234,13.4181172,30–40 min
Jigi Poke Mitte,8.8,Rosenthaler 69,10119,Berlin,"['bowl', 'poke', 'fresh']",10.00,,€€,52.52875640803166,13.402202582625035,30–40 min
Bao Burger by District Mot,7.6,This is a virtual venue,10119,Berlin,"['vietnamese', 'burger', 'bao']",10.00,,€€,52.527961,13.4030479,45–55 min
Quy Nguyen Vegan Living ,8.8,Oranienburger Str. 7,10178,Berlin,"['vietnamese', 'vegan', 'curry']",10.00,,€€,52.52374380000001,13.4004558,45–55 min
MEATBALLERY,,Elisabeth-Schwarzhaupt-Platz 5,10115,Berlin,"['european', 'meatballs', 'pasta']",10.00,,€€,52.5326499,13.3876973,45–55 min
Katchi Ice Cream (Hackescher Markt),,Oranienburger Strasse 89,10178,Berlin,"['ice cream', 'fresh', 'chocolate']",10.00,1.90Min.,€€,52.52355439999999,13.4005345,
PHO Noodlebar Mitte,8.2,Linienstraße 134,10115,Berlin,"['vietnamese', 'pho', 'soup']",10.00,,€€,52.52645771339539,13.387788991402266,45–55 min
momos - organic veggie dumplings,8.6,Chausseestr.2 ,10115,Berlin,"['vegetarian', 'vegan', 'dumplings']",10.00,,€€,52.52756239232951,13.387084337435201,30–40 min
BURGERS BURGERS Mitte,8.6,Brückenstraße 1A,10179,Berlin,"['burger', 'fries', 'hamburger']",10.00,,€€,52.51158751982628,13.416926842325902,45–55 min
PUFFLE BEES,9.2,Brunnenstraße 165,10119,Berlin,['dessert'],10.00,,€€,52.533995,13.3980013,30–40 min
HaiCoffee,8.6,Wallstraße 2,10179,Berlin,"['vietnamese', 'pho', 'japanese']",10.00,,€€,52.5111832,13.4036668,30–40 min
Vegan Bashi,8.2,This is a virtual venue,10119,Berlin,"['sushi', 'vegan', 'asian']",10.00,deliveryMin.,€€€,52.5307021,13.4023004,
Dolores - Mitte,8.8,Rosa – Luxemburg – Straße 7,10178,Berlin,"['burrito', 'mexican', 'tex-mex']",10.00,,€€,52.5237938,13.4091964,30–40 min
"YADA YADA baked potatoes,salads...and more",9.0,Kommandantenstraße 71,10117,Berlin,"['bowl', 'salad', 'burrito']",10.00,1.90Min.,€€,52.5086018,13.4033065,
Nihombashi,7.8,Weinbergsweg 4,10119,Berlin,"['ramen', 'japanese', 'salmon']",10.00,deliveryMin.,€€,52.5307021,13.4023004,
FACTORY GIRL,8.8,Auguststraße 29c,10119,Berlin,"['breakfast', 'brunch', 'healthy']",,,€€,52.5272762,13.3987744,Takeaway
Yada Yada Breakfast Club,9.0,Köpenicker Str. 93,10179,Berlin,"['breakfast', 'waffles', 'pancakes']",10.00,1.90Min.,€€,52.5118344,13.4134833,
Paulaner Wirtshaus Berlin Potsdamer Platz,8.2,Alte Potsdamer Str. 1,10785,Berlin,"['european', 'meat', 'beer']",10.00,,€€,52.508671,13.3753261,30–40 min
Tommi's Burger Joint Mitte,7.6,Invalidenstrasse 160,10115,Berlin,"['burger', 'fries', 'milkshake']",10.00,,€€,52.53238289999999,13.3976359,30–40 min
Van Long,8.4,Reinhardtstraße 8,10117,Berlin,"['vietnamese', 'asian', 'thai']",10.00,,€€,52.52379697423213,13.386434408597848,30–40 min
Jabe Dine & Bar,8.8,Alte Schönhauser Str. 7,10119,Berlin,"['japanese', 'sushi', 'curry']",10.00,,€€,52.5274014094146,13.408137673016737,50–60 min
Go!Fish - Spandauer Strasse,7.0,This is a virtual venue,10178,Berlin,"['fish', 'burger', 'salad']",10.00,,€,52.5206084,13.404795,45–55 min
Pockets,8.6,Torstraße 189,10115,Berlin,"['mediterranean', 'israeli', 'meze']",10.00,,€€,52.52842494597571,13.392690086507711,30–40 min
Mizu Ramen,8.8,Friedrichstraße 115,10117,Berlin,"['ramen', 'japanese', 'gyoza']",10.00,,€€,52.5268053,13.3874491,45–55 min
MA'LOA Poke Bowl Oberwallstr.,8.8,Oberwallstraße 9,10117,Berlin,"['Hawaii', 'poke', 'pokebowl']",10.00,1.90Min.,€€,52.5134504,13.396947,
Yuna,9.2,Oranienburger Straße 22,10178,Berlin,"['cocktail', 'snacks', 'breakfast']",10.00,1.90Min.,€€,52.52435000000001,13.39617,
Simela,8.6,Koppenplatz 1,10115,Berlin,"['pizza', 'salad', 'gluten free']",10.00,,€€,52.5275297,13.3981443,30–40 min
Haferkater Mitte,8.8,Friedrichstraße 141 / S-Bahnhof,10117,Berlin,"['porridge', 'breakfast', 'vegan']",10.00,1.90Min.,€€,52.5202894,13.3869776,
Café Journale ,7.8,Lindenstraße 37,10969,Berlin,"['pizza', 'pasta', 'focaccia']",10.00,,€,52.5068558,13.3984213,40–50 min
Hans im Glück Berlin Hauptbahnhof,8.2,Europaplatz 1,10557,Berlin,"['burger', 'grill', 'american']",10.00,,€€,52.5254009639078,13.369513069171635,30–40 min
Manngo,7.4,Mulackstraße 29,10119,Berlin,"['pho', 'noodles', 'soup']",10.00,,€,52.5273003,13.4056547,30–40 min
Shezan,8.6,Neue Roßstraße 13,10179,Berlin,"['indian', 'tandoori', 'chicken']",10.00,,€€,52.51217999072536,13.408207427139807,45–55 min
Ristorante Marea,7.4,Leipziger Platz 10,10117,Berlin,"['italian', 'pizza', 'pasta']",10.00,,€€€,52.50924990669846,13.37970100978669,30–40 min
Marina Blu,7.8,Weinbergsweg 8A,10119,Berlin,"['antipasti', 'pasta', 'wine']",10.00,,€€€,52.531265510338706,13.40291421123817,45–55 min
Weltwirtschaft am HKW,,John Foster Dulles Allee 10,10557,Berlin,"['european', 'pizza', 'german']",10.00,1.90Min.,€€,52.51928550268709,13.364887312045054,
Spreegold Mitte,7.8,Rosa-Luxemburg-Straße 2,10178,Berlin,"['breakfast', 'burger', 'brunch']",10.00,,€€,52.5231703,13.4092207,30–40 min
auf die Hand - Friedrichstrasse,7.6,Friedrichstraße 63,10117,Berlin,"['european', 'salad', 'smoothie']",10.00,1.90Min.,€,52.51169119999999,13.3898889,
pao pao Modern Tea,9.2,Rosenthaler Str. 66,10119,Berlin,"['bubble tea', 'drinks', 'tea']",10.00,,€€,52.5284291,13.40252,30–40 min
Momotaro Tavern,8.6,Panoramastraße 1A,10178,Berlin,"['asian', 'burger', 'fusion']",10.00,,€,52.52119813848951,13.409617039645097,30–40 min
La Premiata ,8.2, Weinbergsweg 4,10119,Berlin,"['antipasti', 'pasta', 'panini']",10.00,,€€€,52.5307021,13.4023004,30–40 min
cafe camaleon,8.4,Rosenthalerstraße 53,10178,Berlin,"['café', 'cake', 'european']",10.00,,€€€,52.5258247,13.4038859,30–40 min
Rises Deliciacies,8.8,Veteranenstraße 25,10119,Berlin,"['baklava', 'wine', 'cheese']",10.00,,€€,52.53302849816972,13.400146279167359,30–40 min
Ristorante Bonfini,7.0,Chausseestraße 15,10115,Berlin,"['italian', 'mucha pizza', 'pasta']",10.00,,€€,52.5295285,13.3848003,30–40 min
Creasian,7.6,Große Hamburger Straße 21,10115,Berlin,"['pho', 'salad', 'roll']",10.00,,€€,52.52424725298764,13.399283277399833,30–40 min
Al Contadino Mozzarella Bar & Bottega,9.2,Auguststraße 34,10119,Berlin,"['italian', 'Mozzarella', 'cheese']",10.00,1.90Min.,€€€,52.527649502593825,13.400837996222302,
Machiavelli,8.4,Albrechtstr.13 Berlin,10117, Berlin,"['italian', 'european', 'pizza']",10.00,,€€,52.52130280012305,13.385180090564926,45–55 min
Vedang - plant burger (Alexa),8.6,"Grunerstraße 20 Alexa Foodcourt, 2. OG",10179,Berlin,"['burger', 'vegan', 'fries']",,,€€€,52.51971747719034,13.415936597520494,30–40 min
Monsieur Vuong,8.8,Alte Schönhauser Str. 46,10119,Berlin,"['asian', 'pho', 'rice']",10.00,,€€,52.5266587656873,13.40794609384705,45–55 min
Huong Que - Mitte,9.0,Weinbergsweg 27,10119,Berlin,"['vietnamese', 'asian', 'rice']",10.00,,€€,52.530323271089586,13.401492579761001,30–40 min
Eat Culture,8.6,Dircksenstraße 2,10178,Berlin,"['salad', 'fresh', 'smoothie']",10.00,,€€,52.5216144,13.411286,30–40 min
Jabe Sushi Bar,8.8,This is a virtual venue,10117,Berlin,"['asian', 'japanese', 'sushi']",,,€€,52.51261539999999,13.3905721,30–40 min
Restaurant Mittmann's,9.0,Rungestraße 11,10179,Berlin,"['european', 'german', 'traditional']",10.00,,€€,52.5123151,13.4167629,45–55 min
Little Green Rabbit Unter den Linden,8.2,Unter den Linden 21,10117,Berlin,"['salad', 'soup', 'healthy']",10.00,1.90Min.,€€,52.5166207,13.3897757,
Van Anh Quan,,Brunnenstrasse 182,10119,Berlin,"['vietnamese', 'sushi', 'rice']",10.00,,€,52.5315687,13.3993977,30–40 min
Cana Restaurant ,9.2,Neue Roßstraße 11,10179,Berlin,"['Arabic', 'meze', 'chicken']",10.00,,€€,52.512489901723086,13.408856382209862,30–40 min
La Gino,8.0,Rudi-Dutschke-Straße 20,10969,Berlin,"['italian', 'pizza', 'salad']",10.00,,€,52.50697564217489,13.392174971759124,45–55 min
Sons of Mana Mitte,8.4,Chausseestraße 19,10115,Berlin,"['poke', 'Hawaii', 'asian']",10.00,,€€,52.53019931058914,13.383765637415303,30–40 min
Pantry,10,Friedrichstraße 120,10117,Berlin,"['fine-dining', 'european', 'home cooking']",10.00,1.90Min.,€€€€,52.5265902,13.3868778,
St. Oberholz,8.4,Rosenthaler Str. 72a,10119,Berlin,"['coffee', 'icecoffee', 'cake']",10.00,1.90Min.,€€,52.52947318491223,13.401836958757409,
Standard Serious Pizza - Mitte,7.4,Torstraße 102,10119,Berlin,"['pizza', 'italian', 'mediterranean']",10.00,,€€,52.5294757,13.4039167,30–40 min
Tacco Point,7.4,Zimmerstr. 19,10969,Berlin,"['mexican', 'taco', 'burrito']",10.00,,€,52.5075063,13.3895957,45–55 min
Peking Ente Berlin,8.8,Voßstraße 1,10117,Berlin,"['chinese', 'asian', 'duck']",10.00,,€€,52.5115276,13.3828073,30–40 min
Bombay,8.6,Friedrichstraße 106c,10117, Berlin,"['indian', 'butter chicken', 'curry']",10.00,,€€,52.5232743,13.3884602,30–40 min
Akito Sushi Express,8.8,Chausseestraße 116,10115,Berlin,"['sushi', 'bowl', 'japanese']",10.00,,€€,52.5300273,13.3834134,30–40 min
Mr. Vertigo,8.4,Chausseestraße 17,10115,Berlin,"['breakfast', 'brunch', 'lunch']",10.00,1.90Min.,€€,52.5300558,13.3842739,
Ryong,8.8,Torstraße 59,10119,Berlin,"['asian', 'bento', 'noodles']",10.00,,€€,52.52907725886125,13.40893395582038,30–40 min
 Hofbräu Wirtshaus Berlin,8.4,Karl-Liebknecht-Str. 30,10178,Berlin,"['european', 'schnitzel', 'german']",10.00,,€€€,52.5246416,13.4138208,30–40 min
Babami,8.2,Zimmerstraße 23,10969,Berlin,"['vietnamese', 'asian', 'soup']",10.00,,€€,52.5075736,13.3914197,45–55 min
YamYam,8.6,Alte Schönhauser Str. 6,10119,Berlin,"['korean', 'beef', 'vegan']",10.00,1.90Min.,€€,52.5276072,13.4081676,
Chef's,8.8,Weinbergsweg 5,10119,Berlin,"['pasta', 'salad', 'breakfast']",10.00,1.90Min.,€€,52.5307281,13.402446,
KAFFEEMITTE,9.0,Weinmeisterstraße 9a,10178,Berlin,"['breakfast', 'panini', 'spaghetti']",10.00,1.90Min.,€€,52.52521369999999,13.4061021,
mama trattoria,8.0,Pariser Platz 6a,10117,Berlin,"['italian', 'pasta', 'pizza']",10.00,,€€,52.516929596762495,13.377739214551184,45–55 min
Chicken Buzz,8.8,Rosenthaler Str. 71,10119,Berlin,"['chicken', 'fusion', 'korean']",10.00,,€,52.5290313,13.4020603,30–40 min
Q Burger Mitte,8.4,Zimmerstraße 68,10117,Berlin,"['burger', 'hamburger', 'fries']",10.00,,€,52.508031841694375,13.393314303705525,45–55 min
NORDSEE - Berlin Spandauer Straße,8.2,Spandauer Str. 4,10178,Berlin,"['fish', 'burger', 'pasta']",10.00,,€,52.52070579999999,13.4046972,30–40 min
Minty's Fresh Food Bar,,Torstraße 178,10115,Berlin,"['breakfast', 'pastries', 'juice']",10.00,1.90Min.,€,52.52847496427177,13.394461747404078,
Restaurant Aposto,8.0,Monbijouplatz 12,10178,Berlin,"['italian', 'pasta', 'pizza']",10.00,,€€,52.52256,13.39942,30–40 min
90°C Bubble Tea & Cafe,9.2,Novalisstraße 1,10115,Berlin,"['bubble tea', 'tea', 'drinks']",10.00,,€€,52.52780391678912,13.389289793255063,30–40 min
Pinocchio Berlin,8.0,Alexanderplatz 2,10178,Berlin,"['italian', 'pizza']",10.00,,€€,52.52082559999999,13.4144639,30–40 min
Nem&More,8.0,Brückenstraße 3,10179,Berlin,"['asian', 'vietnamese', 'bowl']",10.00,,€€,52.51209410680064,13.417184344174453,30–40 min
Linh Coffee Lab,9.0,Chausseestr. 19,10115,Berlin,"['coffee', 'breakfast', 'tea']",10.00,1.90Min.,€,52.5302259,13.3840856,
Frittenwerk Mall of Berlin,8.6,Leipziger Pl. 12,10117, Berlin,"['fries', 'fast food', 'bowl']",10.00,,€,52.5106200356328,13.379610784424187,30–40 min
Noumi,9.2,Jägerstr. 35,10117,Berlin,"['vietnamese', 'noodles', 'fusion']",10.00,,€€,52.5143007,13.397416,30–40 min
Coréen Restaurant,9.0,Torstraße 179,10115,Berlin,"['korean', 'bowl', 'ribs']",10.00,,€,52.52879,13.39407,30–40 min
Rotisserie Weingrün,9.2,Gertraudenstraße 10-12,10178,Berlin,"['european', 'german', 'fine-dining']",10.00,,€€€€,52.512656238007025,13.402922865605953,45–55 min
Shiso Burger Mitte,8.6,Auguststrasse 29C,10119,Berlin,"['bap burgers and pastrami', 'hamburger', 'asian']",10.00,1.90Min.,€€,52.527281088490106,13.39881999755326,
Breakfast Club by Quchnia,8.2,This is a virtual venue,10117,Berlin,"['pancakes', 'smoothie', 'bowl']",10.00,1.90Min.,€€,52.51279599999999,13.3937831,
Izumi Restaurant-Sushi Bar,8.2,Kronenstraße 66,10117,Berlin,"['sushi', 'salmon', 'fish']",10.00,,€€€,52.51128484392625,13.388770914462679,30–40 min
Einstein Unter den Linden,8.8,Unter den Linden 42,10117,Berlin,"['german', 'schnitzel', 'salad']",10.00,1.90Min.,€€€€,52.5174343,13.3859139,
Yumcha Heroes,9.0,Weinbergsweg 8,10119,Berlin,"['dumplings', 'chinese', 'asian']",10.00,,€€,52.53116037652719,13.402767995750356,45–55 min
Aplo Greek Kitchen & Foods,7.8,Torstraße 118,10119,Berlin,"['greek', 'gyros', 'moussaka']",10.00,,€,52.5295128,13.4021367,30–40 min
Rosenburger,8.8,Brunnenstraße 196,10119,Berlin,"['burger', 'fries', 'hamburger']",10.00,,€,52.5300812,13.4006739,30–40 min
Yakoolza,8.6,Wilhelmstraße 87,10117,Berlin,"['sushi', 'asian', 'fish']",10.00,,€€,52.513098105433734,13.381989088118447,45–55 min
Don Sushi 15,8.4,Brückenstraße 15,10179,Berlin,"['sushi', 'Don', 'bowl']",10.00,,€€,52.5115758,13.4165275,45–55 min
Cafe Fleury,9.2,Weinbergsweg 20,10119,Berlin,"['french', 'baguette', 'homemade']",10.00,,€€,52.53117446073856,13.402212173018816,45–55 min
Eden - Vietnamese Restaurant,8.6,Rosenstraße 19,10178,Berlin,"['vietnamese', 'rice', 'bowl']",10.00,1.90Min.,€€,52.5216976,13.4049481,
WILD & RAW,8.6,Weinbergsweg 5,10119,Berlin,"['healthy', 'poke', 'pokebowl']",10.00,,€€,52.5307281,13.402446,30–40 min
Kuchi Mitte,8.8,Gipsstraße 3,10119,Berlin,"['asian', 'japanese', 'sushi']",10.00,,€€,52.5271845,13.3993081,30–40 min
SUPERFOODS & ORGANIC LIQUIDS Mitte,6.8,Friedrichstraße 63,10117,Berlin,"['healthy', 'vegan', 'gluten free']",10.00,1.90Min.,€€,52.5117086966474,13.389806035124268,
Hoongy,8.6,Chausseestraße 5,10115,Berlin,"['asian', 'sushi', 'fish']",10.00,,€€,52.5280788,13.3872605,30–40 min
Esra,7.8,Rosa-Luxemburg-Straße 5,10178,Berlin,"['Arabic', 'falafel', 'shawarma']",10.00,,€,52.523637,13.409156,30–40 min
Global Tea,9.0,Max-Beer-Straße 13,10119,Berlin,"['bubble tea', 'tea', 'fruit']",10.00,,€,52.52554070000001,13.4080503,45–55 min
